,2_1960,4_1960,6_1976,7_1976,5_1976,8_1980,9_1980,12_1984,18_1992,20_1992,21_1992,22_1996,23_1996,25_2000,26_2000,27_2000,28_2000,30_2004,31_2004,32_2004,29_2004,35_2008,36_2008,33_2008,39_2012,3_1960,1_1960,10_1984,mean,std
0,0.6667,0.2727,0.72,0.6154,0.9231,0.8095,0.7586,0.6471,0.75,0.5714,0.8,0.5263,0.7436,0.4706,0.7812,0.7188,0.5143,0.8421,0.6897,0.5,0.7059,1.0,0.7636,0.7458,0.8333,0.7451,0.7442,0.8148,0.7026357142857143,0.14707030440838664
1,0.7273,0.3529,0.5,0.4,0.0,0.4,0.4242,0.3636,0.4,0.5517,1.0,0.5172,0.4545,0.1667,0.2857,0.5161,0.5,0.3077,0.1538,0.6,0.6061,,0.3158,0.3333,0.6667,0.4286,0.3077,0.4706,0.4351925925925925,0.1912053228879517
2,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,,0.0,0.3333,0.1818,0.0,0.0,0.0,0.75,0.0,0.4615,0.4286,,0.0,0.0,,0.0,,0.0,0.1600375,0.2685033206071823
3,0.2857,0.0,0.4,0.25,,,0.4,0.5,0.6667,0.4444,0.5,0.0,0.4,0.8,0.0,0.0,0.0,0.8889,0.3333,0.2353,0.0,,0.5,0.0,1.0,0.6667,0.8889,1.0,0.40639600000000003,0.3297509550918693
4,0.0,0.0,0.6667,,,1.0,0.4,0.0,0.0,0.0,0.5,0.4,,0.0,0.0,0.0,0.8,0.0,0.3333,0.2,0.8333,,0.0,0.0,0.0,0.3333,0.8,1.0,0.30277500000000007,0.3565407144235658
5,0.6667,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.1818,0.3333,0.0,0.5,0.0,,0.5,0.0,0.0,,0.0,0.0,0.5,,0.0,0.0,0.1219,0.2144461788803047
accuracy,0.5862,0.2609,0.6538,0.4444,0.6667,0.6786,0.6269,0.5,0.6,0.5106,0.75,0.4429,0.6066,0.3415,0.6341,0.6154,0.4242,0.7179,0.5106,0.4531,0.6207,1.0,0.5814,0.5814,0.7368,0.6154,0.6842,0.6538,0.5892178571428571,0.1399301919161618
macro avg,0.4577,0.1043,0.5478,0.2531,0.3077,0.4419,0.3305,0.2518,0.3504,0.3135,0.7,0.2406,0.4227,0.3254,0.1778,0.2891,0.3024,0.5577,0.335,0.3328,0.429,1.0,0.2632,0.1798,0.6,0.4347,0.5482,0.5476,0.39445357142857135,0.18122937219001714
weighted avg,0.54,0.2664,0.6433,0.4708,0.7179,0.6425,0.6583,0.5166,0.5929,0.5231,0.7687,0.4229,0.6188,0.3905,0.6688,0.6221,0.5225,0.7504,0.5692,0.4961,0.6384,1.0,0.6136,0.5439,0.7456,0.6387,0.7002,0.6243,0.6038035714285716,0.13533961905977457
