,2_1960,4_1960,6_1976,7_1976,5_1976,8_1980,9_1980,12_1984,18_1992,20_1992,21_1992,22_1996,23_1996,25_2000,26_2000,27_2000,28_2000,30_2004,31_2004,32_2004,29_2004,35_2008,36_2008,33_2008,39_2012,3_1960,1_1960,10_1984,mean,std
0,0.5625,0.0,0.6,0.7143,0.0,0.0,0.8448,0.0,0.0,0.0,0.8148,0.6939,0.0,0.4571,0.4091,0.6389,0.4444,0.6512,0.1053,0.093,0.0,0.0,0.0625,0.4,0.0,0.0,0.7241,0.7,0.318425,0.3168303935918576
1,0.0,0.2727,0.0,0.0,,0.0,0.0,0.0,0.4444,0.375,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.09230000000000001,0.1630111130044911
2,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.32,0.087,,0.2,0.0,0.4286,0.0,0.0,0.0,0.0,0.0,0.1493,0.2985,,0.0,0.0,0.0,0.0,,0.0,0.079336,0.12848419009356754
3,0.2857,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0635,0.4,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,,0.0465,0.0,0.1333,0.0,0.0,0.0,0.06430384615384616,0.12065505338892368
4,0.0,,0.25,,,0.0,0.0,0.1429,,0.0,0.0,0.0,,0.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.15,0.0,0.0,0.03643333333333333,0.07774136199655475
5,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0
accuracy,0.3793,0.1739,0.3846,0.5556,0.0,0.0,0.7313,0.0714,0.2,0.1702,0.6875,0.5143,0.0328,0.3902,0.2439,0.4423,0.3333,0.4615,0.0426,0.1094,0.1724,0.0,0.0465,0.1628,0.0526,0.0769,0.5789,0.5385,0.26973928571428574,0.22183995733618045
macro avg,0.1414,0.1742,0.1417,0.1429,0.0,0.0,0.169,0.0655,0.1929,0.1724,0.2037,0.1788,0.0127,0.3347,0.092,0.1065,0.1389,0.2102,0.0175,0.0485,0.0498,0.0,0.0273,0.0667,0.0222,0.03,0.2435,0.1167,0.11070357142857143,0.08473554862943068
weighted avg,0.282,0.081,0.3385,0.4497,0.0,0.0,0.6431,0.0191,0.1186,0.0992,0.5602,0.4123,0.0021,0.3847,0.3427,0.43,0.3611,0.375,0.0784,0.0713,0.0515,0.0,0.0461,0.2419,0.007,0.0115,0.4778,0.3769,0.22363214285714286,0.19736254901209355
