,2_1960,4_1960,6_1976,7_1976,5_1976,8_1980,9_1980,12_1984,18_1992,20_1992,21_1992,22_1996,23_1996,25_2000,26_2000,27_2000,28_2000,30_2004,31_2004,32_2004,29_2004,35_2008,36_2008,33_2008,39_2012,3_1960,1_1960,10_1984,mean,std
0,0.3333,0.2857,0.7619,0.4545,0.0,0.6286,0.5714,0.6429,0.6111,0.7458,0.625,0.5424,0.2857,0.6512,0.5,0.5098,0.4571,0.625,0.2857,0.4815,0.7586,1.0,0.7636,0.5128,0.6316,0.6512,0.3871,0.2353,0.5335285714285715,0.2015358827623913
1,0.8333,0.5455,0.8571,0.6154,0.0,0.6667,0.4571,0.8,0.375,0.6364,0.6667,0.6522,0.381,0.5,0.2,0.6471,0.5,0.6667,0.0,0.5,0.7143,,0.4,0.4545,0.0,0.6667,0.1333,0.7273,0.5035666666666666,0.24600303671717974
2,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.4,0.5333,0.0,,0.0,0.0,0.4444,0.0,0.0,1.0,0.8,0.2222,0.4286,0.4,,0.4,0.4,0.0,0.5,,0.8,0.31714000000000003,0.32560875663900685
3,0.5556,0.0,0.5,0.2222,0.0,0.0,0.2,0.5714,0.6,0.3333,0.5714,0.0,0.0952,0.5,0.0,0.0,0.0,0.6667,0.1429,0.3636,0.0,,1.0,0.1667,0.5,0.0,0.7273,0.1818,0.2925222222222222,0.2826961440779538
4,0.0,,0.6667,,,1.0,0.4,0.4,0.0,0.0,0.3333,0.5,,0.0,0.0,0.0,0.6667,0.0,0.4,0.1429,0.6667,,0.0,0.0,0.0,0.75,0.5333,0.5,0.30259130434782605,0.3082891371720688
5,0.6667,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,,,0.0,0.3077,0.2857,0.0,0.8,0.0,,0.4,0.0,0.0,,0.0,0.0,0.6667,0.0,0.0,0.5,0.16500416666666667,0.2560059772726128
accuracy,0.5517,0.2609,0.6923,0.4074,0.0,0.5,0.4776,0.6071,0.525,0.6383,0.5625,0.4714,0.2459,0.5366,0.3171,0.5,0.3939,0.6667,0.234,0.4219,0.6552,1.0,0.6279,0.3953,0.4211,0.5897,0.3947,0.4231,0.4827607142857144,0.1823912246073684
macro avg,0.5315,0.1662,0.5976,0.3251,0.0,0.3825,0.2714,0.469,0.3532,0.3431,0.5491,0.2824,0.2139,0.3969,0.1167,0.3261,0.4373,0.5517,0.2418,0.3194,0.4233,1.0,0.4273,0.2557,0.2997,0.428,0.3562,0.4907,0.3769928571428572,0.17970941609914012
weighted avg,0.5119,0.3173,0.7016,0.4454,0.0,0.5323,0.5143,0.6398,0.5385,0.6509,0.6053,0.4655,0.2886,0.5225,0.4293,0.5232,0.4991,0.659,0.264,0.4685,0.665,1.0,0.6761,0.4633,0.5286,0.6192,0.4072,0.4208,0.5127571428571428,0.17444894551655146
