,2_1960,4_1960,6_1976,7_1976,5_1976,8_1980,9_1980,12_1984,18_1992,20_1992,21_1992,22_1996,23_1996,25_2000,26_2000,27_2000,28_2000,30_2004,31_2004,32_2004,29_2004,35_2008,36_2008,33_2008,39_2012,3_1960,1_1960,10_1984,mean,std
0,0.4211,0.3158,0.375,0.3704,0.4444,0.4615,0.381,0.5926,0.5556,0.3902,0.625,0.1778,0.3462,0.375,0.52,0.2273,0.4118,0.0909,0.5769,0.3636,0.5769,0.8,0.4889,0.5128,0.5263,0.6087,0.5161,0.4545,0.4466535714285714,0.14386624612103835
1,0.25,0.0,0.6667,0.25,0.0,0.5,0.4211,0.6667,0.25,0.7368,0.5,0.0,0.2857,0.3333,0.25,0.2857,0.2222,0.25,0.0,0.25,0.5455,0.0,0.1176,0.4,0.0,0.1818,0.1538,0.5,0.28631785714285723,0.21469346928248895
2,0.3333,0.4444,0.4,0.0,0.4,0.0,0.3077,1.0,0.6154,0.0,0.0,0.3571,0.0,0.1333,0.0,0.1667,0.0,0.5714,0.2857,0.5,0.3,,0.2222,0.25,,0.0,0.0,0.8,0.27258461538461537,0.26625526313657916
3,0.6154,0.0,0.4,0.0,0.0,0.0,0.4,0.4,0.2857,0.3077,0.2857,0.0833,0.1667,0.5455,0.0,0.0,0.0,0.5,0.1818,0.1333,0.0,,0.0,0.2857,0.2857,0.1818,0.381,0.25,0.21071481481481485,0.18806076776700092
4,0.0,0.0,0.4444,0.0,0.0,0.2857,0.1481,0.5,0.0,0.0,0.0,0.1053,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.1818,0.5333,,0.0,0.0,0.0,0.0,0.0,0.5,0.11052962962962963,0.18067451769496237
5,0.4,0.0,0.0,0.0,0.0,0.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.035388888888888886,0.10303678714989536
accuracy,0.3793,0.2174,0.4231,0.2222,0.3333,0.3571,0.3284,0.5714,0.425,0.3617,0.4375,0.1571,0.2623,0.2683,0.3415,0.1923,0.2424,0.3077,0.4043,0.2969,0.4828,0.6667,0.3023,0.3721,0.3158,0.4103,0.3421,0.4231,0.3515857142857142,0.10853615498429779
macro avg,0.3366,0.1267,0.381,0.1034,0.1407,0.2449,0.2763,0.5265,0.2844,0.2391,0.2351,0.1206,0.1886,0.2312,0.1283,0.1133,0.1057,0.2354,0.2217,0.2381,0.326,0.4,0.1381,0.2414,0.1624,0.1621,0.1752,0.4174,0.23215,0.1051032536535926
weighted avg,0.3803,0.2583,0.4097,0.2795,0.4346,0.4073,0.3767,0.6,0.4783,0.4264,0.5279,0.1527,0.326,0.285,0.4495,0.2221,0.3331,0.2682,0.4639,0.334,0.5082,0.8,0.3923,0.4466,0.3751,0.465,0.3868,0.4505,0.40135714285714286,0.12331144492292512
