,2_1960,4_1960,6_1976,7_1976,5_1976,8_1980,9_1980,12_1984,18_1992,20_1992,21_1992,22_1996,23_1996,25_2000,26_2000,27_2000,28_2000,30_2004,31_2004,32_2004,29_2004,35_2008,36_2008,33_2008,39_2012,3_1960,1_1960,10_1984,mean,std
0,0.6207,0.8125,0.6875,0.7027,0.8333,0.9756,0.8911,0.8,0.875,0.7143,0.8571,0.7907,0.8,0.7273,0.9143,0.7302,0.7805,0.7556,0.8611,0.7042,0.7463,1.0,0.871,0.7018,0.7826,0.8358,0.8293,0.8276,0.8010035714285714,0.08664723011871123
1,0.625,0.6667,0.3333,0.2222,0.0,0.5,0.5,0.7143,0.3636,0.8421,0.6667,0.5294,0.6,0.3636,0.5714,0.6,0.7273,0.6,0.2857,0.7407,0.6897,,0.6667,0.2105,0.8,0.0,0.1818,0.5714,0.5026703703703704,0.22864834849662305
2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7273,0.0,,0.1538,0.0,0.0,,0.0,0.0,0.0,0.0,0.6667,0.1818,,0.4,0.0,,0.0,0.0,0.0,0.1304,0.2724931207082728
3,0.0,0.0,0.4,0.5,0.0,,0.6667,0.0,0.8571,0.2,0.5,0.0,0.2857,0.0,0.0,0.0,0.0,0.6,0.6667,0.2353,0.0,,1.0,0.6667,1.0,0.0,0.5455,1.0,0.35091153846153844,0.359542246717345
4,0.0,,0.0,,,1.0,0.0,0.5,0.0,0.0,0.5,0.0,,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.5,,0.0,,0.3333,0.0,0.5455,1.0,0.22934090909090907,0.33343995460419296
5,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.6667,,,0.0,,,,,0.0,0.0,,,0.0,0.04444666666666666,0.16630419865081242
accuracy,0.4828,0.6957,0.5769,0.5556,0.5556,0.8214,0.7761,0.7143,0.75,0.617,0.75,0.6286,0.6721,0.5366,0.8293,0.6346,0.6667,0.5897,0.7021,0.6406,0.6552,1.0,0.7907,0.5349,0.6842,0.7179,0.6316,0.6923,0.6750892857142857,0.1073174308145357
macro avg,0.2076,0.2958,0.4035,0.285,0.2083,0.4951,0.4116,0.4029,0.4705,0.3513,0.631,0.2457,0.3371,0.1818,0.2971,0.3328,0.4349,0.3911,0.3022,0.4694,0.4235,1.0,0.5875,0.3158,0.5832,0.1672,0.4204,0.5665,0.4006714285714285,0.16824644733490313
weighted avg,0.3861,0.7101,0.5053,0.5021,0.6481,0.7683,0.7654,0.6776,0.7438,0.6603,0.7664,0.5813,0.6422,0.4169,0.8,0.6556,0.7384,0.5259,0.6798,0.6684,0.5989,1.0,0.7969,0.5141,0.6899,0.6001,0.6598,0.6544,0.6555750000000001,0.1255238868132846
