,2_1960,4_1960,6_1976,7_1976,5_1976,8_1980,9_1980,12_1984,18_1992,20_1992,21_1992,22_1996,23_1996,25_2000,26_2000,27_2000,28_2000,30_2004,31_2004,32_2004,29_2004,35_2008,36_2008,33_2008,39_2012,3_1960,1_1960,10_1984,mean,std
0,0.5854,0.5333,0.6667,0.5926,0.8571,0.8718,0.8846,0.7907,0.7391,0.8254,0.8571,0.7156,0.6216,0.7451,0.8955,0.8169,0.8444,0.8372,0.7419,0.7317,0.7119,1.0,0.8378,0.807,0.88,0.7692,0.7541,0.7143,0.7724285714285716,0.10501005345456506
1,0.0,0.0,0.0,0.4444,0.0,1.0,0.5556,0.3333,0.4286,0.8,1.0,0.0,0.56,0.5,0.5714,0.72,0.6667,0.4,0.2857,0.4545,0.6061,,0.0,0.5714,0.6667,0.4444,0.0,0.8,0.43736296296296295,0.3075142166519667
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,,0.0,0.0,0.2857,0.0,0.5,0.0,0.2857,0.0,0.4444,0.1818,,0.0,0.0,,0.4,,0.0,0.10823333333333333,0.17942555017487213
3,0.0,0.0,0.0,0.4,,0.0,0.4,0.0,0.6667,0.4,0.5,0.0,0.1818,0.5,0.0,0.0,0.0,0.8,0.6667,0.1667,0.0,,0.0,0.6667,1.0,0.6667,0.0,1.0,0.30828076923076914,0.3389935806281597
4,0.0,,0.0,,,1.0,0.6667,0.5,0.0,0.0,0.6667,0.0,,0.0,0.0,0.0,0.6667,0.0,0.4,0.0,0.7273,,,,0.6667,0.4,0.0,0.2857,0.284752380952381,0.3277472205672676
5,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.010526315789473684,0.044659375653887216
accuracy,0.4138,0.3478,0.5,0.4815,0.6667,0.7143,0.791,0.6786,0.6,0.7447,0.8125,0.5571,0.5082,0.5854,0.7805,0.75,0.7273,0.6667,0.5745,0.5938,0.6207,1.0,0.7209,0.6977,0.7895,0.641,0.6053,0.6154,0.6494607142857143,0.13221155757585135
macro avg,0.0976,0.1333,0.1111,0.2874,0.2143,0.4786,0.5014,0.3248,0.3891,0.3376,0.756,0.1431,0.2727,0.3385,0.2445,0.3395,0.363,0.4646,0.3824,0.2996,0.3712,1.0,0.2095,0.409,0.6427,0.4467,0.1885,0.4667,0.36476428571428565,0.19351308780819249
weighted avg,0.2422,0.371,0.3333,0.4702,0.6667,0.7299,0.7798,0.6035,0.622,0.7407,0.8185,0.3987,0.5084,0.5148,0.7844,0.7256,0.7758,0.6389,0.6165,0.6062,0.5879,1.0,0.604,0.6784,0.76,0.6833,0.4564,0.6187,0.6191357142857142,0.16238950576201855
