,2_1960,4_1960,6_1976,7_1976,5_1976,8_1980,9_1980,12_1984,18_1992,20_1992,21_1992,22_1996,23_1996,25_2000,26_2000,27_2000,28_2000,30_2004,31_2004,32_2004,29_2004,35_2008,36_2008,33_2008,39_2012,3_1960,1_1960,10_1984,mean,std
0,0.0,0.0,0.2667,0.1,0.0,0.3333,0.2712,0.0,0.1481,0.0,0.2857,0.5641,0.1569,0.3077,0.3415,0.6462,0.7391,0.4651,0.4255,0.1852,0.3462,0.8,0.7097,0.2581,0.3529,0.1333,0.4211,0.0,0.29491428571428563,0.23402199791943507
1,0.0,0.0,0.0,0.0,0.0,0.2222,0.1667,0.25,0.1429,0.1176,0.2222,0.2703,0.5455,0.0,0.5,0.2727,0.1818,0.2222,0.1333,0.2727,0.0,,0.1667,0.2609,0.3333,0.0,0.0,0.2,0.16596296296296298,0.14858682247576016
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222,0.1111,0.0,0.0,0.0,0.0,0.2424,0.0,0.0,0.0,0.2353,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.030037037037037043,0.07490237175767235
3,0.0,0.0,0.1905,0.0,0.0,,0.0,0.1333,0.0,0.0833,0.0,0.0,0.1818,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2609,0.0,0.03268461538461538,0.07188203312643941
4,0.1333,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.2222,0.6667,0.4,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.3529,0.25,0.0,0.09197777777777778,0.16743880105508827
5,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0
accuracy,0.0345,0.0,0.1538,0.037,0.0,0.1786,0.1642,0.1071,0.1,0.0638,0.25,0.4,0.1311,0.1951,0.2439,0.4615,0.5455,0.3333,0.234,0.125,0.1552,0.6667,0.5349,0.1628,0.2632,0.1282,0.3158,0.0385,0.21513214285714286,0.17030462424216583
macro avg,0.0222,0.0,0.0762,0.0167,0.0,0.1111,0.0938,0.1009,0.067,0.0846,0.1958,0.2469,0.1474,0.0917,0.1958,0.1531,0.1842,0.1845,0.0931,0.0763,0.0577,0.4,0.1461,0.0865,0.1144,0.0973,0.1864,0.0333,0.1165357142857143,0.08313615001174586
weighted avg,0.0092,0.0,0.1553,0.063,0.0,0.254,0.2325,0.0621,0.1234,0.0373,0.2659,0.3875,0.1791,0.2006,0.336,0.4978,0.5651,0.3156,0.3282,0.174,0.1731,0.8,0.5388,0.2288,0.2766,0.1229,0.3155,0.0462,0.23887499999999998,0.18767550191182958
