,2_1960,4_1960,6_1976,7_1976,5_1976,8_1980,9_1980,12_1984,18_1992,20_1992,21_1992,22_1996,23_1996,25_2000,26_2000,27_2000,28_2000,30_2004,31_2004,32_2004,29_2004,35_2008,36_2008,33_2008,39_2012,3_1960,1_1960,10_1984,mean,std
0,0.4,0.3158,0.5,0.2857,0.0,0.4,0.4412,0.4167,0.6316,0.3,0.7059,0.4643,0.28,0.3125,0.6296,0.4444,0.25,0.24,0.6038,0.4561,0.4186,0.8,0.5833,0.4865,0.6667,0.4615,0.3871,0.3333,0.4362357142857142,0.16552864709833184
1,0.3636,0.0,0.0,0.3333,,0.4,0.2857,0.5333,0.4286,0.7059,0.5,0.3846,0.1333,0.4,0.2857,0.5385,0.2,0.4444,0.0,0.381,0.4545,,0.4286,0.4,0.0,0.1667,0.1538,0.4286,0.32115769230769237,0.18449263102456656
2,0.3333,0.2857,0.5,0.0,0.3333,0.0,0.25,0.0,0.5,0.1176,0.0,0.3333,0.0,0.1053,0.0,0.2857,0.0,0.5385,0.2222,0.5,0.3846,0.0,0.1538,0.1818,0.0,0.0,,0.5,0.20463333333333333,0.1921893163870805
3,0.6667,0.0,0.4615,0.0,0.0,0.0,0.3333,0.4,0.5,0.2222,0.5,0.0,0.25,0.6667,0.0,0.0,0.0,0.4,0.0,0.2667,0.0,,0.0,0.3333,0.6667,0.3333,0.4211,0.3333,0.25017777777777783,0.2342229522442766
4,0.0,0.0,0.3333,0.0,0.0,0.0,0.3077,0.2857,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2857,0.0,,0.0,0.0,1.0,0.3636,0.25,1.0,0.1694814814814815,0.27893148373754345
5,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.3333,0.0,0.0,0.0,0.044092592592592586,0.14133959610318617
accuracy,0.4138,0.1739,0.3846,0.1852,0.1111,0.25,0.3582,0.3929,0.5,0.2979,0.5625,0.3286,0.1967,0.2439,0.439,0.3846,0.1515,0.359,0.4043,0.375,0.3276,0.6667,0.4186,0.3488,0.5263,0.3333,0.3158,0.3462,0.34985714285714276,0.12366898048699956
macro avg,0.4051,0.1003,0.2991,0.1032,0.0667,0.1333,0.2697,0.2726,0.3434,0.2243,0.3676,0.197,0.1423,0.2474,0.1526,0.2114,0.075,0.2705,0.1793,0.3149,0.2096,0.4,0.1943,0.2336,0.4444,0.2209,0.2424,0.4325,0.24119285714285715,0.10432419568883554
weighted avg,0.4132,0.2445,0.393,0.2416,0.0741,0.3143,0.4045,0.4121,0.545,0.3561,0.6415,0.3894,0.2459,0.2611,0.543,0.4289,0.2121,0.3442,0.4744,0.4298,0.3697,0.8,0.5046,0.4297,0.5789,0.3935,0.3403,0.3681,0.3983392857142857,0.1418076900475875
