,2_1960,4_1960,6_1976,7_1976,5_1976,8_1980,9_1980,12_1984,18_1992,20_1992,21_1992,22_1996,23_1996,25_2000,26_2000,27_2000,28_2000,30_2004,31_2004,32_2004,29_2004,35_2008,36_2008,33_2008,39_2012,3_1960,1_1960,10_1984,mean,std
0,0.2667,0.4762,0.4211,0.4286,0.4444,0.3077,0.4789,0.6897,0.5714,0.4889,0.9524,0.36,0.5574,0.6667,0.6909,0.4583,0.303,0.5,0.7213,0.2917,0.6087,1.0,0.6222,0.5641,0.75,0.3529,0.5161,0.5263,0.5362714285714285,0.1794688290825036
1,0.2,0.1818,0.8571,0.2,0.0,0.2222,0.3077,0.8,0.4286,0.7,1.0,0.5333,0.2857,0.3333,0.2857,0.5385,0.25,0.3636,0.0,0.5385,0.5,,0.4444,0.5,0.0,0.3077,0.2,0.6667,0.39425185185185185,0.2523053255707962
2,0.3333,0.25,0.4,0.0,0.4,0.0,0.25,0.0,0.5,0.0,,0.3571,0.0,0.1818,0.0,0.1429,0.0,0.6364,0.0,0.5714,0.375,,0.5455,0.3333,0.0,0.2857,0.0,0.4,0.22932307692307694,0.2095945340370899
3,0.5455,0.0,0.6667,0.0,0.0,0.0,0.25,0.5714,0.2222,0.4,0.8,0.1333,0.3077,0.5,0.0,0.0,0.0,0.3636,0.3333,0.1176,0.0,,0.0,0.0,1.0,0.3333,0.5714,0.2857,0.2741370370370371,0.27823071714243064
4,0.0,,0.6667,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.2,0.5,,0.0,0.0,1.0,0.3636,0.3333,0.5,0.19924230769230772,0.2768390745723211
5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.25,0.04038461538461539,0.11437054385537891
accuracy,0.2759,0.3043,0.5385,0.2593,0.3333,0.1786,0.3582,0.6429,0.45,0.4255,0.875,0.3429,0.4098,0.4634,0.4878,0.3654,0.2121,0.4615,0.5319,0.3125,0.4828,1.0,0.4884,0.3953,0.5789,0.3077,0.3947,0.4615,0.4406464285714287,0.1752263790524027
macro avg,0.2909,0.1816,0.5019,0.1048,0.1407,0.0883,0.2144,0.4546,0.287,0.2648,0.5505,0.264,0.2585,0.2803,0.1628,0.1899,0.1338,0.3727,0.2591,0.2865,0.3306,1.0,0.2687,0.2329,0.4583,0.2739,0.2701,0.4381,0.30570357142857146,0.17615704333297696
weighted avg,0.294,0.3925,0.5197,0.3069,0.4346,0.2357,0.4245,0.6746,0.4881,0.4924,0.8798,0.3817,0.4882,0.4453,0.5939,0.4355,0.281,0.4872,0.5655,0.3513,0.5242,1.0,0.5717,0.4961,0.6184,0.3447,0.4542,0.5175,0.48925714285714283,0.16301990550799844
