,2_1960,4_1960,6_1976,7_1976,5_1976,8_1980,9_1980,12_1984,18_1992,20_1992,21_1992,22_1996,23_1996,25_2000,26_2000,27_2000,28_2000,30_2004,31_2004,32_2004,29_2004,35_2008,36_2008,33_2008,39_2012,3_1960,1_1960,10_1984,mean,std
0,0.0,0.75,0.6667,0.7727,0.0,0.7826,0.8644,0.0,0.0,0.0,0.8571,0.0,0.6111,0.4865,0.8986,0.3478,0.7727,0.0,0.8537,0.781,0.0,0.0,0.75,0.7536,0.8,0.7234,0.7541,0.0,0.472357142857143,0.36779840696129357
1,0.3429,0.5455,0.0,0.0,0.0,0.0,0.0,0.303,0.2222,0.3214,1.0,0.3721,0.2857,0.2069,0.5714,0.5106,0.6154,0.0,0.0,0.0,0.3333,0.0,0.4706,0.0,0.0,0.4211,0.0,0.0,0.2329321428571429,0.2590587482372778
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.4,0.024000000000000004,0.08616263691415207
3,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.2273,0.0,0.0,0.0,,0.6667,0.0,0.6667,0.0,0.0,0.1053,0.09864,0.2028284910953094
4,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1765,,0.0,,0.0,0.4,0.0,0.0,0.04893181818181818,0.13288360383968176
5,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.3077,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,0.0,0.02051333333333333,0.07675386519402277
accuracy,0.2069,0.6522,0.5,0.6296,0.0,0.6429,0.7612,0.1786,0.125,0.1915,0.75,0.2286,0.4754,0.2927,0.8049,0.3846,0.6667,0.1282,0.7447,0.6406,0.1724,0.0,0.6047,0.6047,0.5789,0.5641,0.6053,0.1154,0.43749285714285696,0.2517427143626879
macro avg,0.0571,0.3239,0.1111,0.1545,0.0,0.1565,0.1729,0.0606,0.0444,0.0643,0.4514,0.0744,0.3008,0.1156,0.294,0.1431,0.3147,0.0455,0.1423,0.1562,0.102,0.0,0.3145,0.1507,0.2444,0.3089,0.1885,0.0842,0.1634464285714286,0.11278037595934237
weighted avg,0.0709,0.6403,0.3333,0.4865,0.0,0.559,0.658,0.0541,0.0278,0.0616,0.7643,0.085,0.5203,0.2762,0.787,0.352,0.7007,0.0291,0.6357,0.5003,0.0872,0.0,0.6328,0.4557,0.5825,0.5933,0.4564,0.0348,0.3708857142857143,0.2678329366205275
