,2_1960,4_1960,6_1976,7_1976,5_1976,8_1980,9_1980,12_1984,18_1992,20_1992,21_1992,22_1996,23_1996,25_2000,26_2000,27_2000,28_2000,30_2004,31_2004,32_2004,29_2004,35_2008,36_2008,33_2008,39_2012,3_1960,1_1960,10_1984,mean,std
0,0.5854,0.48,0.7692,0.6667,0.9231,0.8333,0.866,0.7586,0.8293,0.5333,0.8,0.623,0.7765,0.72,0.7742,0.5614,0.7826,0.5806,0.8065,0.75,0.7347,1.0,0.8525,0.7368,0.6667,0.8302,0.5625,0.8462,0.737475,0.12350859317993107
1,0.0,0.5,0.75,0.5,0.0,0.0,0.6087,0.5,0.5333,0.6,0.8,0.7317,0.5,0.4444,0.3636,0.4828,0.6,0.1538,0.2857,0.5926,0.5789,,0.5714,0.5217,0.0,0.3333,0.3,0.8571,0.44848148148148154,0.2412081029242669
2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,,0.6667,0.0,0.25,0.0,0.0,0.0,0.6957,0.3333,0.4,0.6667,,0.2857,0.0,0.0,0.4,0.0,0.6667,0.23198076923076924,0.30621607632423264
3,0.0,0.0,0.8,0.4,,,0.4,1.0,0.75,0.3333,0.5,0.0,0.4,0.5714,0.0,0.0,0.0,0.75,0.4,0.0,0.0,,0.6667,0.0,0.6667,0.5,0.6667,0.4,0.368192,0.3128526680979403
4,0.0,0.0,0.5714,,,0.0,0.6667,0.4,,0.2857,0.0,0.3333,,0.0,0.0,0.5,0.0,0.0,0.0,0.6667,0.8,,,0.0,0.6667,0.0,0.8889,1.0,0.3081545454545455,0.3440215568394631
5,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.2857,,0.0,0.0,0.3333,0.0,0.0,0.5714,0.0,,0.5,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.12229090909090909,0.25585861491543777
accuracy,0.4138,0.3913,0.7692,0.5185,0.6667,0.7143,0.7612,0.6429,0.7,0.4894,0.6875,0.5857,0.6557,0.561,0.6341,0.5,0.6364,0.5385,0.6383,0.6406,0.6552,1.0,0.7442,0.6279,0.4737,0.6667,0.5263,0.7692,0.628867857142857,0.1237341939503831
macro avg,0.0976,0.1633,0.8151,0.3133,0.2308,0.1667,0.5083,0.4431,0.613,0.3505,0.42,0.3924,0.402,0.331,0.1896,0.3526,0.2304,0.436,0.3876,0.4015,0.4634,1.0,0.4753,0.2098,0.3333,0.4127,0.4836,0.6283,0.40182857142857137,0.19116249418668263
weighted avg,0.2422,0.4426,0.7668,0.5272,0.7179,0.5952,0.7728,0.677,0.7348,0.5114,0.7125,0.6096,0.6616,0.4973,0.6686,0.5209,0.6601,0.5702,0.6759,0.6425,0.6848,1.0,0.7497,0.5911,0.5263,0.6764,0.5691,0.7586,0.6343964285714285,0.13439037880672977
