,2_1960,4_1960,6_1976,7_1976,5_1976,8_1980,9_1980,12_1984,18_1992,20_1992,21_1992,22_1996,23_1996,25_2000,26_2000,27_2000,28_2000,30_2004,31_2004,32_2004,29_2004,35_2008,36_2008,33_2008,39_2012,3_1960,1_1960,10_1984,mean,std
0,0.2353,0.4286,0.48,0.4848,0.6667,0.2308,0.5143,0.6061,0.3125,0.1622,0.5,0.2857,0.5507,0.375,0.3415,0.4643,0.4737,0.3704,0.7719,0.4615,0.3462,0.5,0.3,0.5385,0.4,0.5909,0.5,0.6207,0.44686785714285715,0.13875970250135775
1,0.0,0.0,0.2857,0.0,,0.0,0.0,0.4444,0.0,0.0,0.0,0.1905,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.04679629629629629,0.10830331030637808
2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.1818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1333,0.0769,,0.0,0.0,0.0,0.1818,0.0,0.0,0.05643703703703703,0.11487291254105685
3,0.2857,0.0,0.0,0.0,,0.0,0.1538,0.4,0.25,0.0,0.0,0.0952,0.0741,0.1739,0.0909,0.0,0.0,0.0,0.1333,0.087,0.1053,0.0,0.0,0.0,0.25,0.1429,0.0,0.0,0.08304074074074073,0.1078403389764814
4,0.2857,0.0,0.3333,0.0,0.0,0.0,0.0952,0.0,0.0,0.0,0.0,0.1143,0.0,0.2222,0.0,0.0,0.2857,0.2,0.25,0.0,0.2857,,0.0,0.0,0.0,0.0,0.1667,0.0,0.08291851851851852,0.11739670648745437
5,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.5,,,0.0,0.031818181818181815,0.11031510090465088
accuracy,0.2069,0.2609,0.3462,0.2963,0.5556,0.1071,0.2985,0.5,0.225,0.0851,0.25,0.1714,0.3443,0.2195,0.1951,0.25,0.303,0.2051,0.5106,0.2656,0.2069,0.3333,0.1628,0.3256,0.3158,0.3846,0.2895,0.3462,0.2843178571428572,0.10925922338827128
macro avg,0.1345,0.0857,0.1832,0.0808,0.3889,0.0385,0.1272,0.2418,0.1354,0.0573,0.0833,0.1143,0.1375,0.1285,0.0721,0.0774,0.1266,0.1522,0.1925,0.1136,0.1628,0.1667,0.0833,0.0897,0.1917,0.1831,0.1333,0.1034,0.1351892857142857,0.06723092580951182
weighted avg,0.1663,0.2981,0.3242,0.3053,0.6296,0.1648,0.3989,0.4975,0.2437,0.1143,0.3438,0.2114,0.4169,0.2248,0.2854,0.3125,0.3705,0.2559,0.5883,0.3115,0.2177,0.5,0.2488,0.3256,0.3395,0.4409,0.3202,0.3342,0.32823571428571424,0.11984963857829083
