,2_1960,4_1960,6_1976,7_1976,5_1976,8_1980,9_1980,12_1984,18_1992,20_1992,21_1992,22_1996,23_1996,25_2000,26_2000,27_2000,28_2000,30_2004,31_2004,32_2004,29_2004,35_2008,36_2008,33_2008,39_2012,3_1960,1_1960,10_1984,mean,std
0,0.6667,0.7647,0.4615,0.6857,0.9231,0.9,0.5205,0.7222,0.6486,0.6667,0.8333,0.7342,0.7711,0.7391,0.7119,0.8493,0.0,0.678,0.7302,0.7895,0.7077,0.0,0.8571,0.7636,0.8889,0.8358,0.8302,0.8125,0.6961464285714286,0.21860615349158805
1,0.625,0.4444,0.4444,0.1818,0.0,0.5,0.5385,0.75,0.375,0.8,0.6667,0.6286,0.5333,0.5,0.1818,0.75,0.2632,0.0,0.0,0.6364,0.5,,0.6667,0.6316,0.8,0.0,0.2857,0.5,0.4519666666666667,0.2505748871576601
2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.3636,0.0,,0.4286,0.0,0.4286,0.0,0.0,0.0,0.0,0.0,0.6,0.375,,0.4,0.3333,,0.0,0.0,0.0,0.149164,0.2328147158235493
3,0.6667,0.0,0.3333,0.6667,,0.0,0.1538,0.0,0.6667,0.2,0.5,0.0,0.4,0.4,0.0,0.0,,0.0,0.2857,0.1818,0.0,,0.0,0.0,1.0,0.0,0.6667,1.0,0.284856,0.3230356699561211
4,0.0,,0.4,,,1.0,0.0,0.5,0.0,0.0,0.0,0.6667,,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.5,0.0,,,0.0,0.0,0.4,1.0,0.21818181818181817,0.325318379209106
5,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.3636,0.2857,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.057465,0.14102923907828477
accuracy,0.5862,0.6522,0.4615,0.5185,0.6667,0.7143,0.4179,0.6071,0.5,0.5532,0.75,0.6286,0.6393,0.5854,0.5366,0.7692,0.1515,0.5128,0.5106,0.6562,0.5862,0.0,0.7674,0.6512,0.7895,0.7179,0.7105,0.6923,0.5833142857142858,0.17142930595080733
macro avg,0.4097,0.3023,0.4066,0.3068,0.2308,0.4,0.2021,0.3287,0.3423,0.3333,0.5,0.4097,0.4136,0.3922,0.1489,0.2666,0.0658,0.1356,0.1693,0.4235,0.3471,0.0,0.3848,0.3457,0.5378,0.1672,0.4365,0.5521,0.3199642857142857,0.13494069388937843
weighted avg,0.5374,0.6286,0.4436,0.4901,0.7179,0.7143,0.4732,0.6339,0.5406,0.6199,0.7188,0.6269,0.6656,0.56,0.6036,0.7447,0.0399,0.3477,0.5498,0.6985,0.5737,0.0,0.7637,0.6535,0.745,0.6001,0.6774,0.6298,0.5713642857142855,0.18086782706536544
